Time_5ug/ml_5,5ug/ml_5,Time_5ug/ml_6,5ug/ml_6,Time_10ug/ml_8,10ug/ml_8,Time_10ug/ml_9,10ug/ml_9,Time_50ug/ml_11,50ug/ml_11,Time_50ug/ml_12,50ug/ml_12,Time_100ug/ml_14,100ug/ml_14,Time_100ug/ml_15,100ug/ml_15,Time_200ug/ml_17,200ug/ml_17,Time_200ug/ml_18,200ug/ml_18,Time_1000ug/ml_20,1000ug/ml_20,Time_1000ug/ml_21,1000ug/ml_21,Time_1500ug/ml_23,1500ug/ml_23,Time_1500ug/ml_24,1500ug/ml_24
20.0,0.005364088943641709,20,0.0038774399886780664,20.0,0.005393228100779579,20.0,0.005603859048742388,20.0,0.008377921606391947,20.0,0.007868349870031599,20.0,0.011937446632215076,20.0,0.012042030097586975,20.0,0.01869023801979508,20.0,0.020225808240114773,20,0.037216433273688176,20.0,0.03794546774360552,20,0.04048756728054381,20.0,0.04119720128322024
22.0,0.005000631791184151,22,0.0038567297528444566,22.0,0.005616679795312773,22.0,0.005691067280390705,22.0,0.008575564202893515,22.0,0.008207566034943659,22.0,0.012903089454794348,22.0,0.012445274727120648,22.0,0.020358794410273218,22.0,0.021318222208628335,22,0.038350409707822,22.0,0.03896673380250126,22,0.04149579299213557,22.0,0.04195477598509978
24.0,0.004414291988731556,24,0.00441713280924394,24.0,0.005162178625643721,24.0,0.0059352736924005445,24.0,0.00874073047116286,24.0,0.008863289706446675,24.0,0.013393950406737742,24.0,0.013853177269565586,24.0,0.022008076625035455,24.0,0.022545618633843523,24,0.039448344194097595,24.0,0.04011191022441141,24,0.04232126124769153,24.0,0.043119844832531395
26.0,0.005203164832641827,26,0.004312125962705693,26.0,0.005314562976732606,26.0,0.00620974552780762,26.0,0.00963748468093395,26.0,0.008675261809863333,26.0,0.01473716287480209,26.0,0.01440438545202083,26.0,0.023373254029060764,26.0,0.023955327394575177,26,0.04037120655178983,26.0,0.040459991763738934,26,0.04341463938579704,26.0,0.04392153218028794
28.0,0.00564371903029004,28,0.004355322343952084,28.0,0.005410523946929757,28.0,0.0059029528110039475,28.0,0.00952002026809562,28.0,0.009498578180453077,28.0,0.01499766810608305,28.0,0.014648179198016642,28.0,0.024258803527586803,28.0,0.025157395618505385,28,0.04195398652885496,28.0,0.04174846954309919,28,0.044177247778982354,28.0,0.04427015517434896
30.0,0.005348717791367141,30,0.004384217897084763,30.0,0.005714439496839141,30.0,0.006152461668015752,30.0,0.00946401738737368,30.0,0.009790195216834885,30.0,0.015485349548069571,30.0,0.01575335641327613,30.0,0.02509370717879955,30.0,0.025646921664115307,30,0.04201616024264476,30.0,0.04190274610506051,30,0.044478626735659166,30.0,0.04514426962474638
32.0,0.004819269634808165,32,0.00450524542262043,32.0,0.005735703726492902,32.0,0.006330761586256006,32.0,0.010392138344816448,32.0,0.009940945779574495,32.0,0.01615205835624245,32.0,0.01605271478375614,32.0,0.02585874069994909,32.0,0.02717883740120053,32,0.04294810125004678,32.0,0.04238961176358291,32,0.04523594691960864,32.0,0.04549001493010052
34.0,0.0056752969155875466,34,0.0050479351034886655,34.0,0.006150250712736671,34.0,0.006296783035731002,34.0,0.0097288056618825,34.0,0.009957469371876915,34.0,0.016717527430815116,34.0,0.01679591700476224,34.0,0.027230253516806302,34.0,0.02811406177028819,34,0.043062296345016904,34.0,0.04353866864120026,34,0.0457531134808038,34.0,0.04542081362356143
36.0,0.004964464372812838,36,0.004323293555599905,36.0,0.005377294616221606,36.0,0.006358452825931504,36.0,0.010845236865726804,36.0,0.009925549948056611,36.0,0.017586487476085377,36.0,0.016930494557149567,36.0,0.02812384627565412,36.0,0.02884525416389172,36,0.04383805046618572,36.0,0.04365526623425198,36,0.04670687495356107,36.0,0.04608753501206442
38.0,0.005288983572786288,38,0.00467332167664547,38.0,0.005765998414916318,38.0,0.0063323309626628355,38.0,0.010506291873590312,38.0,0.01051877842101101,38.0,0.018016930634295436,38.0,0.01748073249572224,38.0,0.02896458269137936,38.0,0.02986391008195799,38,0.044113917685361104,38.0,0.04389760470254633,38,0.04687375978017738,38.0,0.04644900950473474
40.0,0.0053566308549073405,40,0.004553459362740764,40.0,0.0064554146799955525,40.0,0.006189160537084959,40.0,0.01117171260732408,40.0,0.011144847306360006,40.0,0.018461603654910563,40.0,0.01821912495624023,40.0,0.029507405600557313,40.0,0.030653343616314332,40,0.04484816004331171,40.0,0.04434733172160099,40,0.047012987302015974,40.0,0.0471182127492038
42.0,0.005495792019200474,42,0.004171011748818065,42.0,0.005983810317351068,42.0,0.006760088486698956,42.0,0.011484907408034761,42.0,0.011322213580873486,42.0,0.018742546637013247,42.0,0.01877754650324137,42.0,0.03019458598665392,42.0,0.03129211832984091,42,0.0452960250980079,42.0,0.04485804996443821,42,0.04754833721343443,42.0,0.04711444184204816
44.0,0.005269630752474885,44,0.004646959666956274,44.0,0.006150368714382681,44.0,0.0067194528414806776,44.0,0.011450037613135233,44.0,0.01153788878737938,44.0,0.01912152455664362,44.0,0.01960309409886163,44.0,0.030866284689496037,44.0,0.03149946559092753,44,0.045919852804031214,44.0,0.04520698889188113,44,0.047850334996860644,44.0,0.04778241655944493
46.0,0.004934033598789744,46,0.004912777048083239,46.0,0.005877099135809916,46.0,0.006705465685339584,46.0,0.011142575890907613,46.0,0.011532403707195549,46.0,0.019886446766174126,46.0,0.019058400373936912,46.0,0.03147932235768813,46.0,0.03222803377153305,46,0.045307032281050486,46.0,0.04560989052505282,46,0.048393311452235466,46.0,0.048020321586409676
48.0,0.0055472675002155025,48,0.004786887988513122,48.0,0.006059152630042641,48.0,0.0069416777909019345,48.0,0.012098942116103961,48.0,0.012082460351534818,48.0,0.019960417752900472,48.0,0.020031661374181997,48.0,0.032427623534807104,48.0,0.03261345373589353,48,0.045992826055163194,48.0,0.045896918949408505,48,0.04798150837505899,48.0,0.04862695014308116
50.0,0.0053578537079554955,50,0.0047093244296079195,50.0,0.006028429665568602,50.0,0.006671883406982548,50.0,0.011946919657498611,50.0,0.01160964883600979,50.0,0.020359254671757254,50.0,0.02036745913555138,50.0,0.03314977582710177,50.0,0.033130821417754364,50,0.04594786685782015,50.0,0.04622048692295011,50,0.04877261023928092,50.0,0.048707483074928115
52.0,0.005448194681124008,52,0.004873840095636517,52.0,0.00626609954992019,52.0,0.006859350007377252,52.0,0.012446695990318002,52.0,0.012264828284150875,52.0,0.020680594091713633,52.0,0.020530693852982784,52.0,0.033755136761260296,52.0,0.03372128016391929,52,0.046478261778452934,52.0,0.046050933444371056,52,0.04877355135196737,52.0,0.048488804158976606
54.0,0.0056591609838283485,54,0.004608488164288493,54.0,0.005668342104949264,54.0,0.007068814639255461,54.0,0.012960901390328905,54.0,0.012594847106186968,54.0,0.021396221602278942,54.0,0.021075279337062325,54.0,0.03396802488788975,54.0,0.03402061175201054,54,0.04714197152559585,54.0,0.047036752464819864,54,0.04907248436747591,54.0,0.04909702101366786
